,Nom du commerce,﻿Catégorie,Adresse,Numéro,Code postal,Localité,Site internet,Géo Point,lun_mat_ouv,lun_mat_ferm,lun_soir_ouv,lun_soir_ferm,mar_mat_ouv,mar_soir_ferm,mer_mat_ouv,mer_mat_ferm,mer_soir_ouv,mer_soir_ferm,jeu_mat_ouv,jeu_mat_ferm,ven_mat_ouv,ven_mat_ferm,ven_soir_ouv,ven_soir_ferm,sam_mat_ouv,sam_mat_ferm,sam_soir_ouv,sam_soir_ferm,dim_mat_ouv,dim_mat_ferm,dim_soir_ferm
206,Socofimon,Comptable et/ou fiscalité,Rue de Wansin,17,4280,Grand-Hallet,,"50.678409913,5.026990677",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
207,Gestion comptable et Fiscale,Comptable et/ou fiscalité,Avenue Paul Brien,21,4280,Hannut,,"50.675091008,5.065180745",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
208,Fiduciaire Hesbignonne (BSI),Comptable et/ou fiscalité,Place Henri Hallet,1 BIS,4280,Hannut,,"50.671569391,5.078932884",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
209,Bureau Comptalis SRL (Mariam Kabbou),Comptable et/ou fiscalité,Rue Emile Röder,2C,4280,Lens-Saint-Remy,,"50.654287949,5.129094314",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
210,Cordonnerie Dantinne J-L,Cordonnerie,Rue Zenobe Gramme,77,4280,Hannut,,"50.671341164,5.075842323",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
211,Atelier de Couture Carine renson,Couture - retouches,Rue Zenobe Gramme,69,4280,Hannut,,"50.671341164,5.075842323",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
212,Dehaen Muriel,Crèches - Garderies d'enfants,Rue Chaussée,10b,4280,Merdorp,,"50.644444564,5.006838419",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
213,Devalin 94,Culture du lin,Rue des Artisans,9,4280,Hannut,,"50.678394396,5.089498135",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
214,Jadition,Débimétrie et calibrage,Rue des Artisans,8,4280,Hannut,,"50.678394396,5.089498135",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
215,Simon Cornélis,Décorateur - Intérieur et/ou Extérieure,Route de Namur,125,4280,Moxhe,,"50.638894909,5.081312019",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
216,Gerday Victoria,Dentiste,Route de Tirlemont,8,4280,Hannut,,"50.677510762,5.071320872",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
217,La Maison du coeur,Dépannage des personnes précarisées,Route de Tirlemont,106,4280,Hannut,,"50.677510762,5.071320872",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
218,Dr Bataille A-C – Dermatologie,Dermatologue,Route de Wavre,100,4280,Thisnes,,"50.670537318,5.043941939",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
219,De Bruycker Stéphanie,Diéteticien et/ou nutritionniste,Rue Saint Martin,29,4280,Thisnes,,"50.665619433,5.048510393",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
220,Actvictory,Distribution et Merchandising,Rue du Luxembourg,7,4280,Hannut,,"50.676275139,5.087422649",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
221,Dr Michel Leclercq,Docteur en médecine,Avenue de Thouars,6,4280,Hannut,,"50.672441589,5.075136576",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
222,Dr Courtoy M.,Docteur en médecine,Rue des Aisnes,21,4280,Hannut,,"50.676317264,5.075253813",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
223,Compes Annick,Docteur en médecine,Rue de la Crosse,1,4280,Villers-le-Peuplier,,"50.657814877,5.092705839",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
224,Bertrand JF,Ebénisterie,Rue Tige Jacquette,8,4280,Avin,,"50.619450001,5.078056125",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
225,Delighting sprl,Eclairage industriel,Route de Wavre,101a,4280,Thisnes,,"50.670537318,5.043941939",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
226,MK-Consult,Electricité,Rue Louis Snyers,10,4280,Hannut,,"50.669648492,5.084784683",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
227,Vertessen Elec,Electricité,Rue des Caïades,3,4280,Petit-Hallet,,"50.688373137,5.010391219",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
228,La Maison de A à Z,Electricité,Rue Grammia,3,4280,Abolens,,"50.671873811,5.154462678",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
229,JPS Art de Vivre,Entrepreneur - Extérieur (jardin aquatique),Chaussée Romaine,4,4280,Moxhe,,"50.637856713,5.075498642",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
230,Ets Morue Alain,Entrepreneurs en bâtiments et/ou rénovations,Rue Tige Jacquette,8/b,4280,Avin,,"50.619450001,5.078056125",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
231,Durabilis sprl,Entrepreneurs en bâtiments et/ou rénovations,Rue de Cras Avernas,4,4280,Bertrée,,"50.697029757,5.095957715",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
232,Douette Luc,Entrepreneurs en bâtiments et/ou rénovations,Rue de Houtain,39,4280,Grand-Hallet,,"50.698816905,5.043729605",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
233,Maçonnerie de Hesbaye,Entrepreneurs en bâtiments et/ou rénovations,Rue de France,11,4280,Hannut,,"50.676425556,5.09126427",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
234,Christiaens P.,Entrepreneurs en bâtiments et/ou rénovations,Rue de la Vallée,34,4280,Thisnes,,"50.669641851,5.037955284",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
235,Gustin Elise,Epicerie,Route de Wavre,90,4280,Thisnes,,"50.670537318,5.043941939",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
236,Peigneur Yannick,Evénements (Organisation),Rue des Artisans,7,4280,Hannut,,"50.678394396,5.089498135",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
237,Davels,"Fabrication de bâches, filets, protect. Solaires",Rue du Petit Marais,21,4280,Lens-Saint-Remy,,"50.658563202,5.125553854",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
238,Fleurs Leheureux,Fleuriste - Plantes,Rue Albert 1er,106,4280,Hannut,,"50.670079416,5.081582015",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
239,Nature Passion,Fleuriste - Plantes,Rue du Tilleul,11,4280,Hannut,,"50.670089613,5.088506117",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
240,Fritti Snack,Friteries - Petites restaurations,Rue de Huy,63 bte 5,4280,Hannut,,"50.664769864,5.091593435",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
241,A Table,Fromagerie,Rue Albert 1er,80,4280,Hannut,,"50.670079416,5.081582015",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
242,Les Délices rouges du Brou (producteur de groseilles et framboises),Fruits & légumes (culture de),Rue du Brou,11,4280,Abolens,,"50.672543244,5.151301696",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
243,Ferme Vanova,Fruits & Légumes (culture de),Route de Namur,73,4280,Crehen,,"50.650425354,5.078693652",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
244,Hertaveg,Fruits & Légumes (culture de),Route de Landen,57 E,4280,Hannut,,"50.696380041,5.081903394",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
245,Funérailles Valé,Funérarium,Rue de l'Europe,10,4280,Hannut,,"50.677996994,5.085730975",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
246,GHN Cars,Garage automobile,Rue du Paradis,12,4280,Cras-Avernas,,"50.700166072,5.109222209",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
247,Cornet M.,Garage automobile,Rue Mayeur J. debras,7,4280,Grand-Hallet,,"50.694155943,5.037648399",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
248,Citroen (Berode),Garage automobile,Route de Landen,72,4280,Hannut,,"50.696380041,5.081903394",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
249,Sonck Etienne et Guillaume André,Géomètre - Expert,Route de Tirlemont,84 F,4280,Hannut,,"50.677510762,5.071320872",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
250,Oh Oui merveilles,Gourmandises (magasin de),Rue Zénobe gramme,,4280,Hannut,,"50.671341164,5.075842323",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
251,Pop & Gum Studio,Graphiste,Rue de Villers,58a,4280,Villers-le-Peuplier,,"50.657895715,5.090875521",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
252,Salerno Aurore,Graphiste - Photographe,Rue A. Courthois,8,4280,Poucet,,"50.677501028,5.10868969",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
253,BHdesign,Graphiste - Photographe,Rue de la Vallée,41b,4280,Thisnes,,"50.669641851,5.037955284",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
254,Cornélis karin,Infirmières - soins à domicile,Rue de Houtain,5,4280,Grand-Hallet,,"50.698816905,5.043729605",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
255,Hera Consulting sprl,Informatique,Rue de Grand-Hallet,5,4280,Avernas-le-Bauduin,,"50.696213863,5.06633303",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
256,Bataille Olivier,Informatique,Rue du Chiroux,4b,4280,Thisnes,,"50.66787609,5.045869023",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
257,Bild,Informatique,Rue de la Drève,2,4280,Wansin,,"50.676897194,5.020275183",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
258,Popup SCRL,Informatique - Consultant,Rue des limonadiers,37a,4280,Avin,,"50.619301563,5.062851082",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
259,Weets D,Informatique - Consultant,Rue Georges Touret,15,4280,Lens-Saint-Remy,,"50.660731238,5.135366159",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
260,Tumisoft,Informatique (entretien ordinateur),Mont de Lens,3,4280,Lens-Saint-Remy,,"50.655423604,5.131556407",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
261,Ananké,Institut de beauté et/ou bien-être,Rue Achille Sonck,3,4280,Hannut,,"50.671950039,5.08177506",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
262,Institut Alice,Institut de beauté et/ou bien-être,Rue Zenobe Gramme,63,4280,Hannut,,"50.671341164,5.075842323",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
263,Opaline,Institut de beauté et/ou bien-être,Rue Neuve,7,4280,Poucet,,"50.676579391,5.110205663",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
264,Fraipont JM,Kinésithérapeute,Rue du Centre,17,4280,Blehen,,"50.662999417,5.121546234",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
265,Knaepen D,Kinésithérapeute,Rue Désiré Streel,30,4280,Cras-Avernas,,"50.693717017,5.136945772",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
266,Cartilier Jean Pierre,Kinésithérapeute,Route de Tirlemont,59 / 2,4280,Hannut,,"50.677510762,5.071320872",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
267,Goudeseune César,Kinésithérapeute - Ostéopathe,Chemin des Dames,2,4280,Hannut,,"50.666636608,5.078044956",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
268,Duroi Thierry,Laveur de vitre,Rue de la Chapelle,19,4280,Merdorp,,"50.659335699,4.999729585",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
269,Lavoir Hannutois New,Lavoir - Nettoyage à sec,Route de Wavre,11,4280,Hannut,,"50.670537318,5.043941939",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
270,Des livres et nous,Librairie,Rue de Thisnes,36,4280,Crehen,,"50.660842687,5.058640297",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
271,Literie Chanet,Literie (magasin de),Rue Albert 1er,29,4280,Hannut,,"50.670079416,5.081582015",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
272,Rent a Car,Location de véhicules,Rue de l'Europe,15,4280,Hannut,,"50.677996994,5.085730975",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
273,Bayard - Rigo,Logopède,Rue Tige Jacquette,13,4280,Avin,,"50.619450001,5.078056125",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
274,Janne Agnès,Logopède,Avenue Achille sonck,1,4280,Hannut,,"50.671950039,5.08177506",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
275,Cuyckens,Machines & outils agricoles,Rue Roi Albert,1,4280,Cras-Avernas,,"50.698224784,5.122521736",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
276,CMC Machines,Machines à coudre - Réparation - Location - dét.,Rue Albert 1er,73,4280,Hannut,,"50.670079416,5.081582015",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
277,Denis Loïc,Maréchal Ferrant,Rue Hubert Larock,13 bte 1,4280,Poucet,,"50.67670088,5.117276147",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
278,Marie de Fauconval,Médecine alternative,Rue du Mohéry,15d,4280,Avin,,"50.624526449,5.071485531",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
279,Scheerens Benoît,Menuiserie - Châssis - Ebénisterie,Rue de Lens-Saint-Servais,12,4280,Abolens,,"50.671412722,5.149892253",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
280,Dany Beelen,Menuiserie - Châssis - Ebénisterie,Rue Chaussée,13f,4280,Merdorp,,"50.644444564,5.006838419",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
281,Mutualité Chretienne,Mutualité,Rue Albert 1er,97,4280,Hannut,,"50.670079416,5.081582015",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
282,Grégoire Hervé (Herline),Navettes Aéroports,Rue Albert 1er,50/1,4280,Hannut,,"50.670079416,5.081582015",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
283,Net-Impec (Nettoyage de Bureau),Nettoyage (entreprise),Rue du Moulin,20,4280,Hannut,,"50.67670153,5.067575401",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
284,Notaire Piret Gérard,Notaires,Route de Tirlemont,1,4280,Hannut,,"50.677510762,5.071320872",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
285,Optica,Opticien,Rue Gustave Detiege,1,4280,Hannut,,"50.671955047,5.078210069",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
286,Krys,Opticien,Rue Zenobe Gramme,14,4280,Hannut,,"50.671341164,5.075842323",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
287,Greenland sprl,Parcs & jardins (Entretien et aménagement),Rue de Huy,102 A,4280,Hannut,,"50.664769864,5.091593435",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
288,Delvaux Catherine,Pédicure,Rue Joseph wauters,22,4280,Hannut,,"50.671440816,5.088310975",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
289,Vanesse L,Peinture (entrepreneur de),Rue du Rivage,14,4280,Cras-Avernas,,"50.699270655,5.115707679",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
290,Atelier des Couleurs,Peinture (pigments naturels),Rue de la Victoire,8,4280,Thisnes,,"50.667134368,5.050771497",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
291,Aux Petits Soins,Pension pour chiens,Rue des Aisnes,1,4280,Hannut,,"50.676317264,5.075253813",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
292,Pharmacie de la Grand Place,Pharmacie,Grand Place,14,4280,Hannut,,"50.672649414,5.077863186",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
293,Blue piscines,Piscines - Constructions & Access,Route de Landen,158,4280,Avernas-le-Bauduin,,"50.696380041,5.081903394",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
294,Trefeu Stéphane,Plafonnage,Rue Belle-Vue,23,4280,Grand-Hallet,,"50.694514244,5.050462294",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
295,Barnisca Gheorghe,Plafonnage,Avenue Paul Brien,3,4280,Hannut,,"50.675091008,5.065180745",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
296,Nelis,Plafonnage,Rue Neuve,29,4280,Poucet,,"50.676579391,5.110205663",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
